,1960,1970,1980,1990,2000,2010,
mitch ryder  the detroit wheels,1,0,0,0,0,0,devil with a blue dress ongood golly miss molly
jaheim featuring next,0,0,0,0,1,0,anything
dino desi  billy,1,0,0,0,0,0,im a fool
andy gibb,0,5,2,0,0,0,"i just want to be your everything, shadow dancing, love is thicker than water, an everlasting love, our love dont throw it all away, desire, time is time"
miguel,0,0,0,0,0,3,"sure thing, adorn, adorn"
next,0,0,0,4,1,0,"butta love, too close, i still love you, butta love, wifey"
lady gaga featuring colby odonis,0,0,0,0,1,0,just dance
ciara featuring chamillionaire,0,0,0,0,1,0,get up
buffalo springfield,1,0,0,0,0,0,for what its worth
alan jackson,0,0,0,0,3,0,"drive for daddy gene, where were you when the world stopped turning, remember when"
samantha sang,0,1,0,0,0,0,emotion
whitesnake,0,0,2,0,0,0,"here i go again, is this love"
donovan,3,0,0,0,0,0,"sunshine superman, hurdy gurdy man, atlantis"
crazy town,0,0,0,0,1,0,butterfly
johnny hates jazz,0,0,1,0,0,0,shattered dreams
gym class heroes featuring neon hitch,0,0,0,0,0,1,ass back home
rita coolidge,0,2,0,0,0,0,"your love has lifted me higher and higher, were all alone"
the miracles,4,1,0,0,0,0,"the tracks of my tears, ooo baby baby, if you can want, baby baby dont cry, love machine"
rickie lee jones,0,1,0,0,0,0,chuck es in love
gotye featuring kimbra,0,0,0,0,0,1,somebody that i used to know
joe featuring mystikal,0,0,0,0,1,0,stutter
gilbert osullivan,0,3,0,0,0,0,"alone again naturally, get down, clair"
da brat,0,0,0,2,0,0,"funkdafied, give it 2 you"
michelle branch,0,0,0,0,2,0,"all you wanted, are you happy now"
hamilton joe frank  reynolds,0,2,0,0,0,0,"dont pull your love, fallin in love"
dire straits,0,1,2,0,0,0,"sultans of swing, money for nothing, walk of life"
celine dion and peabo bryson,0,0,0,1,0,0,beauty and the beast
jeremih,0,0,0,0,1,0,birthday sex
three 6 mafia featuring young buck and 8ball  mjg,0,0,0,0,1,0,stay fly
danity kane featuring yung joc,0,0,0,0,1,0,show stopper
warren g featuring nate dogg,0,0,0,1,0,0,regulate
a flock of seagulls,0,0,1,0,0,0,i ran so far away
sixpence none the richer,0,0,0,1,0,0,kiss me
baby bash featuring frankie j,0,0,0,0,2,0,"suga suga, suga suga"
kesha,0,0,0,0,0,1,die young
boston,0,1,1,0,0,0,"dont look back, amanda"
beenie man,0,0,0,0,1,0,dude
lloyd featuring ashanti,0,0,0,0,1,0,southside
adam ant,0,0,1,0,0,0,goody twoshoes
commodores,0,4,4,0,0,0,"sweet love, easy, three times a lady, sail on, still, lady you bring me up, oh no, nightshift"
wilson pickett,3,1,0,0,0,0,"land of 1000 dances, 6345789 soulsville usa, funky broadway, dont knock my love"
dev,0,0,0,0,0,1,in the dark
clay aiken,0,0,0,0,1,0,this is the night
carrie underwood,0,0,0,0,3,3,"inside your heaven, jesus take the wheel, before he cheats, undo it, good girl, blown away"
bill conti deetta little and nelson pigford,0,1,0,0,0,0,gonna fly now
ariana grande featuring iggy azalea,0,0,0,0,0,1,problem
pink featuring nate ruess,0,0,0,0,0,1,just give me a reason
tommy roe,3,0,0,0,0,0,"hooray for hazel, sweet pea, dizzy"
evanescence,0,0,0,0,2,0,"my immortal, call me when youre sober"
big sean featuring drake,0,0,0,0,0,1,blessings
blaque,0,0,0,1,1,0,"808, bring it all to me"
ozark mountain daredevils,0,1,0,0,0,0,jackie blue
queen,0,5,2,1,0,0,"killer queen, bohemian rhapsody, youre my best friend, somebody to love, we will rock youwe are the champions, crazy little thing called love, another one bites the dust, bohemian rhapsody"
wreckxneffect,0,0,0,1,0,0,rump shaker
frankie valli,1,3,0,0,0,0,"cant take my eyes off you, my eyes adored you, swearin to god, grease"
duran duran,0,0,9,2,0,0,"hungry like the wolf, is there something i should know, the reflex, union of the snake, new moon on monday, a view to a kill, the wild boys, notorious, i dont want your love, ordinary world, come undone"
kings of leon,0,0,0,0,1,1,"use somebody, use somebody"
