Artist,Sixties,Seventies,Eighties,Nineties,Two_Thousands,Twenty_Tens,Total Hits,Songs,Gender,Genre
4:00 PM,0,0,0,1,0,0,1,sukiyaki,,
112,0,0,0,3,3,0,6,"only you, cupid, anywhere, peaches  cream, its over now, u already know",,
702,0,0,0,2,0,0,2,"get it together, where my girls at",,
  the mysterians,1,0,0,0,0,0,1,96 tears,,
100 proof aged in soul,0,1,0,0,0,0,1,somebodys been sleeping,,
10000 maniacs,0,0,0,1,0,0,1,because the night,,
10cc,0,2,0,0,0,0,2,"im not in love, the things we do for love",male,
1910 fruitgum company,3,0,0,0,0,0,3,"simon says, 1 2 3 red light, indian giver",male,
2 chainz,0,0,0,0,0,2,2,"no lie, im different",male,African-American_male_rappers
2 pistols,0,0,0,0,1,0,1,she got it,male,African-American_male_rappers
20 fingers,0,0,0,1,0,0,1,short dick man,,
2pac,0,0,0,5,1,0,6,"i get around, keep ya head up, dear mama, how do u want it  california love, do for love, thugz mansion",,
3 doors down,0,0,0,0,8,0,8,"kryptonite, kryptonite, be like that, when im gone, here without you, here without you, let me go, its not my time",,
38 special,0,0,2,0,0,0,2,"caught up in you, second chance",,
3lw,0,0,0,0,1,0,1,no more baby ima do right,,
3oh3,0,0,0,0,1,1,2,"dont trust me, my first kiss",,
3t,0,0,0,1,0,0,1,anything,,
4 non blondes,0,0,0,1,0,0,1,whats up,,
5 seconds of summer,0,0,0,0,0,2,2,"amnesia, she looks so perfect",,
50 cent,0,0,0,0,9,0,9,"in da club, 21 questions, pimp, wanksta, candy shop, disco inferno, just a lil bit, outta control, ayo technology",male,African-American_male_rappers
69 boyz,0,0,0,2,0,0,2,"tootsee roll, tootsee roll",,
8th day,0,1,0,0,0,0,1,shes not just another woman,,
95 south,0,0,0,1,0,0,1,whoot there it is,,
98 degrees,0,0,0,5,1,0,6,"invisible man, because of you, the hardest thing, i do cherish you, because of you, give me just one night una noche",,
a flock of seagulls,0,0,1,0,0,0,1,i ran so far away,,
a great big world and christina aguilera,0,0,0,0,0,1,1,say something,,
a taste of honey,0,1,1,0,0,0,2,"boogie oogie oogie, sukiyaki",,
aaliyah,0,0,0,5,6,0,11,"back  forth, at your best you are love, if your girl only knew, the one i gave my heart to, the one i gave my heart to, try again, i dont wanna, more than a woman, rock the boat, miss you, come over",female,African-American_female_singers
aaron hall,0,0,0,1,0,0,1,i miss you,male,African-American_male_singers
aaron neville,1,0,0,1,0,0,2,"tell it like it is, everybody plays the fool",,
abba,0,5,1,0,0,0,6,"waterloo, dancing queen, knowing me knowing you, take a chance on me, the name of the game, the winner takes it all",both,
abc,0,0,2,0,0,0,2,"be near me, when smokey sings",,
ace,0,1,0,0,0,0,1,how long,,
ace frehley,0,1,0,0,0,0,1,new york groove,male,American_male_guitarists
ace hood,0,0,0,0,0,1,1,bugatti,male,African-American_male_rappers
ace of base,0,0,0,6,0,0,6,"all that she wants, the sign, all that she wants, dont turn around, beautiful life, cruel summer",,
adam ant,0,0,1,0,0,0,1,goody twoshoes,male,English_male_singers
adam clayton and larry mullen,0,0,0,1,0,0,1,theme from mission impossible,,
adam lambert,0,0,0,0,0,1,1,whataya want from me,male,American_male_singer-songwriters
adele,0,0,0,0,0,7,7,"rolling in the deep, someone like you, set fire to the rain, someone like you, rumour has it, rolling in the deep, hello",female,English_female_pop_singers
adina howard,0,0,0,1,0,0,1,freak like me,female,African-American_female_singers
aerosmith,0,2,2,7,1,0,12,"dream on, walk this way, angel, love in an elevator, janies got a gun, what it takes, cryin, livin on the edge, crazy, amazing, i dont want to miss a thing, jaded",,
after 7,0,0,0,3,0,0,3,"ready or not, cant stop, til you do me right",male,
after the fire,0,0,1,0,0,0,1,der kommissar,,
aha,0,0,1,0,0,0,1,take on me,male,
ahmad,0,0,0,1,0,0,1,back in the day,male,African-American_male_rappers
air supply,0,0,8,0,0,0,8,"lost in love, all out of love, every woman in the world, the one that you love, sweet dreams, even the nights are better, here i am, making love out of nothing at all",male,
akon,0,0,0,0,8,0,8,"locked up, lonely, smack that, i wanna love you, dont matter, smack that, beautiful, right now na na na",male,African-American_male_rappers
al b sure,0,0,1,0,0,0,1,nite and day,,
al green,0,6,0,0,0,0,6,"tired of being alone, lets stay together, look what you done for me, im still in love with you, here i am come and take me, shalala make me happy",male,American_male_guitarists
al stewart,0,2,0,0,0,0,2,"year of the cat, time passages",male,English_male_singers
al wilson,0,1,0,0,0,0,1,show and tell,male,American_male_singers
alabama,0,0,2,0,0,0,2,"feels so right, love in the first degree",,
alabama and n sync,0,0,0,1,0,0,1,god must have spent a little more time on you,,
alan jackson,0,0,0,0,4,0,4,"drive for daddy gene, where were you when the world stopped turning, its five oclock somewhere, remember when",male,American_country_singers
alan oday,0,1,0,0,0,0,1,undercover angel,,
alanis morissette,0,0,0,2,1,0,3,"ironic, you learn  you oughta know, hands clean",female,American_female_guitarists
alannah myles,0,0,0,1,0,0,1,black velvet,female,
albert hammond,0,1,0,0,0,0,1,it never rains in southern california,male,English_male_singers
alessia cara,0,0,0,0,0,1,1,here,,
alex clare,0,0,0,0,0,1,1,too close,male,English_male_singers
alice cooper,0,5,1,0,0,0,6,"schools out, only women bleed, you and me, i never cry, how you gonna see me now, poison",male,American_male_singers
alice deejay,0,0,0,0,1,0,1,better off alone,,
alicia bridges,0,2,0,0,0,0,2,"i love the nightlife, i love the nightlife",female,American_female_singers
alicia keys,0,0,0,0,9,3,12,"fallin, a womans worth, if i aint got you, you dont know my name, diary, karma, no one, no one, like youll never see me again, unthinkable im ready, try sleeping with a broken heart, girl on fire",female,African-American_female_singer-songwriters
alive n kickin,0,1,0,0,0,0,1,tighter tighter,,
all saints,0,0,0,1,0,0,1,never ever,,
all4one,0,0,0,3,0,0,3,"i swear, so much in love, i can love you like that",,
allen kriskris allen,0,0,0,0,0,1,1,live like were dying,,
allure,0,0,0,2,0,0,2,"all cried out, all cried out",female,
aloe blacc,0,0,0,0,0,1,1,the man,male,American_male_singers
amanda perez,0,0,0,0,1,0,1,angel,female,American_female_singers
amazing rhythm aces,0,1,0,0,0,0,1,third rate romance,,
amber,0,0,0,1,0,0,1,this is your night,female,Female_rock_singers
ambrosia,0,1,1,0,0,0,2,"how much i feel, biggest part of me",,
ame lorain,0,0,0,1,0,0,1,whole wide world,,
america,0,3,1,0,0,0,4,"a horse with no name, sister golden hair, lonely people, you can do magic",male,
american authors,0,0,0,0,0,1,1,best day of my life,,
amerie,0,0,0,0,1,0,1,1 thing,female,African-American_female_singer-songwriters
amii stewart,0,1,0,0,0,0,1,knock on wood,female,American_female_singers
amy grant,0,0,0,5,0,0,5,"baby baby, every heartbeat, good for me, thats what love is for, i will remember you",female,American_female_singers
amy winehouse,0,0,0,0,1,0,1,rehab,female,English_female_singers
andrea true connection,0,1,0,0,0,0,1,more more more,,
andrew gold,0,1,0,0,0,0,1,lonely boy,male,American_male_singers
andy gibb,0,5,2,0,0,0,7,"i just want to be your everything, shadow dancing, love is thicker than water, an everlasting love, our love dont throw it all away, desire, time is time",male,English_male_singers
andy grammer,0,0,0,0,0,1,1,honey im good,male,American_male_singer-songwriters
andy kim,1,1,0,0,0,0,2,"baby i love you, rock me gently",male,Canadian_male_singers
andy williams,0,1,0,0,0,0,1,where do i begin love story,male,American_crooners
angie martinez,0,0,0,0,1,0,1,if i could go,female,American_female_singers
animotion,0,0,1,0,0,0,1,obsession,,
anita baker,0,0,2,0,0,0,2,"sweet love, giving you the best that i got",female,African-American_female_singer-songwriters
anita ward,0,1,0,0,0,0,1,ring my bell,female,American_female_singers
ann wilson and robin zander,0,0,1,0,0,0,1,surrender to me,,
anna kendrick,0,0,0,0,0,1,1,cups pitch perfects when im gone,female,American_female_pop_singers
anne murray,0,6,2,0,0,0,8,"snowbird, dannys song, you wont see me, a love song, you needed me, i just fall in love again, daydream believer, broken hearted me",female,Canadian_female_pop_singers
annie lennox,0,0,0,1,0,0,1,no more i love yous,female,Female_rock_singers
another bad creation,0,0,0,1,0,0,1,iesha,,
apollo 100,0,1,0,0,0,0,1,joy,,
aqua,0,0,0,1,0,0,1,barbie girl,,
arcadia,0,0,1,0,0,0,1,election day,,
archie bell  the drells,1,0,0,0,0,0,1,tighten up,,
aretha franklin,6,5,2,1,0,0,14,"respect, baby i love you, i never loved a man the way i love you, sweet sweet baby since youve been gone, i say a little prayer, think, call me, spanish harlem, bridge over troubled water, day dreaming, until you come back to me thats what im gonna do, freeway of love, whos zoomin who, a rose is still a rose",female,African-American_female_singer-songwriters
aretha franklin and george michael,0,0,1,0,0,0,1,i knew you were waiting for me,,
argent,0,1,0,0,0,0,1,hold your head up,,
ariana grande,0,0,0,0,0,4,4,"the way, problem, break free, one last time",female,American_female_pop_singers
ariana grande and the weeknd,0,0,0,0,0,1,1,love me harder,,
arlo guthrie,0,1,0,0,0,0,1,city of new orleans,male,American_male_guitarists
arrested development,0,0,0,3,0,0,3,"tennessee, people everyday, mr wendal",,
arthur conley,1,0,0,0,0,0,1,sweet soul music,male,American_male_singers
asap rocky,0,0,0,0,0,1,1,fuckin problems,male,African-American_male_rappers
ashanti,0,0,0,0,5,0,5,"foolish, happy, baby, rock wit u awww baby, rain on me",,
asher roth,0,0,0,0,1,0,1,i love college,male,American_male_rappers
ashford  simpson,0,0,1,0,0,0,1,solid,,
ashlee simpson,0,0,0,0,1,0,1,pieces of me,female,American_female_pop_singers
asia,0,0,2,0,0,0,2,"heat of the moment, dont cry",male,
atlanta rhythm section,0,2,0,0,0,0,2,"so in to you, imaginary lover",,
atlantic starr,0,0,2,1,0,0,3,"secret lovers, always, masterpiece",,
audioslave,0,0,0,0,1,0,1,like a stone,,
avant,0,0,0,0,2,0,2,"separated, read your mind",male,African-American_male_singers
average white band,0,2,0,0,0,0,2,"pick up the pieces, cut the cake",,
avicii,0,0,0,0,0,3,3,"wake me up, wake me up, hey brother",,
avril lavigne,0,0,0,0,7,1,8,"complicated, sk8er boi, im with you, my happy ending, dont tell me, girlfriend, keep holding on, what the hell",female,Canadian_female_singers
awolnation,0,0,0,0,0,1,1,sail,male,
az,0,0,0,1,0,0,1,sugar hill,male,African-American_male_rappers
az yet,0,0,0,3,0,0,3,"last night, hard to say im sorry, last night",,
b2k,0,0,0,0,1,0,1,uh huh,male,
b2k and p diddy,0,0,0,0,1,0,1,bump bump bump,,
baauer,0,0,0,0,0,1,1,harlem shake,male,
baby bash,0,0,0,0,5,0,5,"suga suga, suga suga, baby im back, cyclone, cyclone",,
baby boy da prince,0,0,0,0,1,0,1,the way i live,male,African-American_male_rappers
babyface,0,0,1,5,0,0,6,"its no crime, whip appeal, when can i see you, never keeping secrets, and our feelings, every time i close my eyes",,
bachmanturner overdrive,0,2,0,0,0,0,2,"takin care of business, you aint seen nothing yet",,
backstreet boys,0,0,0,5,2,0,7,"quit playing games with my heart, everybody backstreets back, quit playing games with my heart, i want it that way, all i have to give, show me the meaning of being lonely, incomplete",,
bad company,0,2,0,0,0,0,2,"feel like makin love, rock n roll fantasy",male,
bad english,0,0,1,1,0,0,2,"when i see you smile, price of love",,
bad meets evil,0,0,0,0,0,1,1,lighters,,
badfinger,0,2,0,0,0,0,2,"come and get it, day after day",,
baltimora,0,0,1,0,0,0,1,tarzan boy,male,
bananarama,0,0,3,0,0,0,3,"cruel summer, venus, i heard a rumour",,
barbara lewis,1,0,0,0,0,0,1,baby im yours,,
barbara mason,1,0,0,0,0,0,1,yes im ready,female,American_female_singers
barbra streisand,0,4,2,0,0,0,6,"the way we were, evergreen love theme from a star is born, my heart belongs to me, the main eventfight, woman in love, comin in and out of your life",female,American_female_pop_singers
barbra streisand  barry gibb,0,0,2,0,0,0,2,"guilty, what kind of fool",,
barbra streisand  donna summer,0,0,1,0,0,0,1,no more tears enough is enough,,
barbra streisand and bryan adams,0,0,0,1,0,0,1,i finally found someone,,
barenaked ladies,0,0,0,1,0,0,1,one week,,
barry manilow,0,9,2,0,0,0,11,"mandy, could it be magic, i write the songs, tryin to get the feeling again, looks like we made it, weekend in new england, cant smile without you, copacabana, somewhere in the night, ships, i made it through the rain",male,American_crooners
barry mcguire,1,0,0,0,0,0,1,eve of destruction,male,American_male_singer-songwriters
barry white,0,3,0,0,0,0,3,"im gonna love you just a little more baby, never never gonna give you up, youre the first the last my everything",male,African-American_male_singers
bastille,0,0,0,0,0,1,1,pompeii,,
bay city rollers,0,3,0,0,0,0,3,"saturday night, money honey, you made me believe in magic",male,
bazuka,0,1,0,0,0,0,1,dynomite,female,
bb king,0,1,0,0,0,0,1,the thrill is gone,male,
bbmak,0,0,0,0,1,0,1,back here,,
beastie boys,0,0,1,0,0,0,1,you gotta fight for your right to party,male,
beck,0,0,0,1,0,0,1,loser,male,American_male_guitarists
becky g,0,0,0,0,0,1,1,shower,female,American_female_pop_singers
bee gees,0,12,0,0,0,0,12,"how can you mend a broken heart, lonely days, jive talkin, you should be dancing, fanny be tender with my love, love so right, night fever, stayin alive, how deep is your love, too much heaven, tragedy, love you inside out",,
beenie man,0,0,0,0,1,0,1,dude,,
belinda carlisle,0,0,3,0,0,0,3,"mad about you, heaven is a place on earth, i get weak",female,American_female_pop_singers
bell biv devoe,0,0,0,2,0,0,2,"poison, do me",,
ben e king,0,0,1,0,0,0,1,stand by me,,
benny mardones,0,0,1,0,0,0,1,into the night,,
berlin,0,0,1,0,0,0,1,take my breath away,,
bert kaempfert,1,0,0,0,0,0,1,red roses for a blue lady,male,
bertie higgins,0,0,1,0,0,0,1,key largo,male,American_male_singers
bette midler,0,2,2,1,0,0,5,"boogie woogie bugle boy, do you wanna dance, the rose, wind beneath my wings, from a distance",female,American_female_pop_singers
better than ezra,0,0,0,1,0,0,1,good,,
betty wright,0,1,0,0,0,0,1,clean up woman,female,African-American_female_singers
beverly bremers,0,1,0,0,0,0,1,dont say you dont remember,,
beyonce,0,0,0,0,14,5,19,"crazy in love, baby boy, naughty girl, me myself and i, baby boy, check on it, dej`a vu, irreplaceable, beautiful liar, single ladies put a ring on it, halo, if i were a boy, sweet dreams, diva, sweet dreams, best thing i never had, drunk in love, partition, 711",female,
big brother and the holding company,1,0,0,0,0,0,1,piece of my heart,,
big mountain,0,0,0,1,0,0,1,baby i love your way,,
big pun,0,0,0,1,0,0,1,still not a player,,
big sean,0,0,0,0,0,4,4,"my last, dance a, i dont fuck with you, blessings",male,African-American_male_rappers
big tymers,0,0,0,0,1,0,1,still fly,,
bill conti deetta little and nelson pigford,0,1,0,0,0,0,1,gonna fly now,both,
bill cosby,1,0,0,0,0,0,1,little ole man uptight everythings alright,,
bill medley and jennifer warnes,0,0,1,0,0,0,1,ive had the time of my life,,
bill withers,0,3,0,0,0,0,3,"aint no sunshine, lean on me, use me",male,African-American_male_singers
billie myers,0,0,0,1,0,0,1,kiss the rain,female,English_female_pop_singers
billy currington,0,0,0,0,1,0,1,people are crazy,male,American_country_singers
billy idol,0,0,4,1,0,0,5,"hot in the city, eyes without a face, mony mony, to be a lover, cradle of love",male,English_male_singers
billy joe royal,1,0,0,0,0,0,1,down in the boondocks,male,American_country_singers
billy joel,0,2,7,3,0,0,12,"just the way you are, my life, its still rock and roll to me, you may be right, allentown, tell her about it, uptown girl, an innocent man, the longest time, we didnt start the fire, i go to extremes, the river of dreams",male,American_male_pop_singers
billy ocean,0,0,6,0,0,0,6,"caribbean queen, loverboy, suddenly, therell be sad songs to make you cry, when the going gets tough the tough get going, get outta my dreams get into my car",male,English_male_singers
billy paul,0,1,0,0,0,0,1,me and mrs jones,male,American_male_singers
billy preston,0,3,0,0,0,0,3,"outaspace, will it go round in circles, nothing from nothing",male,American_male_singer-songwriters
billy preston and syreeta,0,0,1,0,0,0,1,with you im born again,,
billy ray cyrus,0,0,0,1,0,0,1,achy breaky heart,male,American_country_singers
billy squier,0,0,2,0,0,0,2,"the stroke, rock me tonite",male,American_male_guitarists
billy swan,0,1,0,0,0,0,1,i can help,male,American_country_singers
billy vera and the beaters,0,0,1,0,0,0,1,at this moment,,
biz markie,0,0,0,1,0,0,1,just a friend,male,African-American_male_rappers
bj thomas,2,4,0,0,0,0,6,"im so lonesome i could cry, hooked on a feeling, raindrops keep fallin on my head, i just cant help believing, hey wont you play another somebody done somebody wrong song, dont worry baby",male ,
black box,0,0,0,2,0,0,2,"everybody everybody, strike it up",,
blackstreet,0,0,0,4,0,0,4,"before i let you go, no diggity, no diggity, take me there",,
blake shelton,0,0,0,0,1,4,5,"austin, honey bee, god gave me you, boys round here, sure be cool if you did",male,American_country_singers
blaque,0,0,0,1,1,0,2,"808, bring it all to me",,
blessid union of souls,0,0,0,1,0,0,1,i believe,,
blink 182,0,0,0,0,1,0,1,all the small things,,
blondie,0,1,3,0,0,0,4,"heart of glass, call me, rapture, the tide is high",,
blood sweat  tears,2,0,0,0,0,0,2,"spinning wheel, youve made me so very happy",,
bloodstone,0,1,0,0,0,0,1,natural high,,
blu cantrell,0,0,0,0,1,0,1,hit em up style oops,female,African-American_female_singer-songwriters
blue cheer,1,0,0,0,0,0,1,summertime blues,,
blue magic,0,1,0,0,0,0,1,sideshow,,
