4:00 PM,0,0,0,1,0,0,sukiyaki,1995,1995,,
112,0,0,0,3,3,0,"only you, cupid, anywhere, peaches  cream, its over now, u already know",1996,2005,,
702,0,0,0,2,0,0,"get it together, where my girls at",1997,1999,,
  the mysterians,1,0,0,0,0,0,96 tears,1966,1966,,
100 proof aged in soul,0,1,0,0,0,0,somebodys been sleeping,1970,1970,,
10000 maniacs,0,0,0,1,0,0,because the night,1994,1994,,
10cc,0,2,0,0,0,0,"im not in love, the things we do for love",1975,1977,male,
1910 fruitgum company,3,0,0,0,0,0,"simon says, 1 2 3 red light, indian giver",1968,1969,male,
2 chainz,0,0,0,0,0,2,"no lie, im different",2012,2013,male,African-American_male_rappers
2 pistols,0,0,0,0,1,0,she got it,2008,2008,male,African-American_male_rappers
20 fingers,0,0,0,1,0,0,short dick man,1995,1995,,
2pac,0,0,0,5,1,0,"i get around, keep ya head up, dear mama, how do u want it  california love, do for love, thugz mansion",1993,2003,,
3 doors down,0,0,0,0,8,0,"kryptonite, kryptonite, be like that, when im gone, here without you, here without you, let me go, its not my time",2000,2008,,
38 special,0,0,2,0,0,0,"caught up in you, second chance",1982,1989,,
3lw,0,0,0,0,1,0,no more baby ima do right,2001,2001,,
3oh3,0,0,0,0,1,1,"dont trust me, my first kiss",2009,2010,,
3t,0,0,0,1,0,0,anything,1996,1996,,
4 non blondes,0,0,0,1,0,0,whats up,1993,1993,,
5 seconds of summer,0,0,0,0,0,2,"amnesia, she looks so perfect",2014,2014,,
50 cent,0,0,0,0,9,0,"in da club, 21 questions, pimp, wanksta, candy shop, disco inferno, just a lil bit, outta control, ayo technology",2003,2007,male,African-American_male_rappers
69 boyz,0,0,0,2,0,0,"tootsee roll, tootsee roll",1994,1995,,
8th day,0,1,0,0,0,0,shes not just another woman,1971,1971,,
95 south,0,0,0,1,0,0,whoot there it is,1993,1993,,
98 degrees,0,0,0,5,1,0,"invisible man, because of you, the hardest thing, i do cherish you, because of you, give me just one night una noche",1997,2000,,
a flock of seagulls,0,0,1,0,0,0,i ran so far away,1982,1982,,
a great big world and christina aguilera,0,0,0,0,0,1,say something,2014,2014,,
a taste of honey,0,1,1,0,0,0,"boogie oogie oogie, sukiyaki",1978,1981,,
aaliyah,0,0,0,5,6,0,"back  forth, at your best you are love, if your girl only knew, the one i gave my heart to, the one i gave my heart to, try again, i dont wanna, more than a woman, rock the boat, miss you, come over",1994,2003,female,African-American_female_singers
aaron hall,0,0,0,1,0,0,i miss you,1994,1994,male,African-American_male_singers
aaron neville,1,0,0,1,0,0,"tell it like it is, everybody plays the fool",1967,1991,,
abba,0,5,1,0,0,0,"waterloo, dancing queen, knowing me knowing you, take a chance on me, the name of the game, the winner takes it all",1974,1981,both,
abc,0,0,2,0,0,0,"be near me, when smokey sings",1985,1987,,
ace,0,1,0,0,0,0,how long,1975,1975,,
ace frehley,0,1,0,0,0,0,new york groove,1979,1979,male,American_male_guitarists
ace hood,0,0,0,0,0,1,bugatti,2013,2013,male,African-American_male_rappers
ace of base,0,0,0,6,0,0,"all that she wants, the sign, all that she wants, dont turn around, beautiful life, cruel summer",1993,1998,,
adam ant,0,0,1,0,0,0,goody twoshoes,1983,1983,male,English_male_singers
adam clayton and larry mullen,0,0,0,1,0,0,theme from mission impossible,1996,1996,,
adam lambert,0,0,0,0,0,1,whataya want from me,2010,2010,male,American_male_singer-songwriters
adele,0,0,0,0,0,7,"rolling in the deep, someone like you, set fire to the rain, someone like you, rumour has it, rolling in the deep, hello",2011,2015,female,English_female_pop_singers
adina howard,0,0,0,1,0,0,freak like me,1995,1995,female,African-American_female_singers
aerosmith,0,2,2,7,1,0,"dream on, walk this way, angel, love in an elevator, janies got a gun, what it takes, cryin, livin on the edge, crazy, amazing, i dont want to miss a thing, jaded",1976,2001,,
after 7,0,0,0,3,0,0,"ready or not, cant stop, til you do me right",1990,1995,male,
after the fire,0,0,1,0,0,0,der kommissar,1983,1983,,
aha,0,0,1,0,0,0,take on me,1985,1985,male,
ahmad,0,0,0,1,0,0,back in the day,1994,1994,male,African-American_male_rappers
air supply,0,0,8,0,0,0,"lost in love, all out of love, every woman in the world, the one that you love, sweet dreams, even the nights are better, here i am, making love out of nothing at all",1980,1983,male,
akon,0,0,0,0,8,0,"locked up, lonely, smack that, i wanna love you, dont matter, smack that, beautiful, right now na na na",2004,2009,male,African-American_male_rappers
al b sure,0,0,1,0,0,0,nite and day,1988,1988,,
al green,0,6,0,0,0,0,"tired of being alone, lets stay together, look what you done for me, im still in love with you, here i am come and take me, shalala make me happy",1971,1975,male,American_male_guitarists
al stewart,0,2,0,0,0,0,"year of the cat, time passages",1977,1979,male,English_male_singers
al wilson,0,1,0,0,0,0,show and tell,1974,1974,male,American_male_singers
alabama,0,0,2,0,0,0,"feels so right, love in the first degree",1981,1982,,
alabama and n sync,0,0,0,1,0,0,god must have spent a little more time on you,1999,1999,,
alan jackson,0,0,0,0,4,0,"drive for daddy gene, where were you when the world stopped turning, its five oclock somewhere, remember when",2002,2004,male,American_country_singers
alan oday,0,1,0,0,0,0,undercover angel,1977,1977,,
alanis morissette,0,0,0,2,1,0,"ironic, you learn  you oughta know, hands clean",1996,2002,female,American_female_guitarists
alannah myles,0,0,0,1,0,0,black velvet,1990,1990,female,
albert hammond,0,1,0,0,0,0,it never rains in southern california,1973,1973,male,English_male_singers
alessia cara,0,0,0,0,0,1,here,2015,2015,,
alex clare,0,0,0,0,0,1,too close,2012,2012,male,English_male_singers
alice cooper,0,5,1,0,0,0,"schools out, only women bleed, you and me, i never cry, how you gonna see me now, poison",1972,1989,male,American_male_singers
alice deejay,0,0,0,0,1,0,better off alone,2000,2000,,
alicia bridges,0,2,0,0,0,0,"i love the nightlife, i love the nightlife",1978,1979,female,American_female_singers
alicia keys,0,0,0,0,9,3,"fallin, a womans worth, if i aint got you, you dont know my name, diary, karma, no one, no one, like youll never see me again, unthinkable im ready, try sleeping with a broken heart, girl on fire",2001,2013,female,African-American_female_singer-songwriters
alive n kickin,0,1,0,0,0,0,tighter tighter,1970,1970,,
all saints,0,0,0,1,0,0,never ever,1998,1998,,
all4one,0,0,0,3,0,0,"i swear, so much in love, i can love you like that",1994,1995,,
allen kriskris allen,0,0,0,0,0,1,live like were dying,2010,2010,,
allure,0,0,0,2,0,0,"all cried out, all cried out",1997,1998,female,
aloe blacc,0,0,0,0,0,1,the man,2014,2014,male,American_male_singers
amanda perez,0,0,0,0,1,0,angel,2003,2003,female,American_female_singers
amazing rhythm aces,0,1,0,0,0,0,third rate romance,1975,1975,,
amber,0,0,0,1,0,0,this is your night,1996,1996,female,Female_rock_singers
ambrosia,0,1,1,0,0,0,"how much i feel, biggest part of me",1979,1980,,
ame lorain,0,0,0,1,0,0,whole wide world,1990,1990,,
america,0,3,1,0,0,0,"a horse with no name, sister golden hair, lonely people, you can do magic",1972,1982,male,
american authors,0,0,0,0,0,1,best day of my life,2014,2014,,
amerie,0,0,0,0,1,0,1 thing,2005,2005,female,African-American_female_singer-songwriters
amii stewart,0,1,0,0,0,0,knock on wood,1979,1979,female,American_female_singers
amy grant,0,0,0,5,0,0,"baby baby, every heartbeat, good for me, thats what love is for, i will remember you",1991,1992,female,American_female_singers
amy winehouse,0,0,0,0,1,0,rehab,2007,2007,female,English_female_singers
andrea true connection,0,1,0,0,0,0,more more more,1976,1976,,
andrew gold,0,1,0,0,0,0,lonely boy,1977,1977,male,American_male_singers
andy gibb,0,5,2,0,0,0,"i just want to be your everything, shadow dancing, love is thicker than water, an everlasting love, our love dont throw it all away, desire, time is time",1977,1981,male,English_male_singers
andy grammer,0,0,0,0,0,1,honey im good,2015,2015,male,American_male_singer-songwriters
andy kim,1,1,0,0,0,0,"baby i love you, rock me gently",1969,1974,male,Canadian_male_singers
andy williams,0,1,0,0,0,0,where do i begin love story,1971,1971,male,American_crooners
angie martinez,0,0,0,0,1,0,if i could go,2002,2002,female,American_female_singers
animotion,0,0,1,0,0,0,obsession,1985,1985,,
anita baker,0,0,2,0,0,0,"sweet love, giving you the best that i got",1986,1989,female,African-American_female_singer-songwriters
anita ward,0,1,0,0,0,0,ring my bell,1979,1979,female,American_female_singers
ann wilson and robin zander,0,0,1,0,0,0,surrender to me,1989,1989,,
anna kendrick,0,0,0,0,0,1,cups pitch perfects when im gone,2013,2013,female,American_female_pop_singers
anne murray,0,6,2,0,0,0,"snowbird, dannys song, you wont see me, a love song, you needed me, i just fall in love again, daydream believer, broken hearted me",1970,1980,female,Canadian_female_pop_singers
annie lennox,0,0,0,1,0,0,no more i love yous,1995,1995,female,Female_rock_singers
another bad creation,0,0,0,1,0,0,iesha,1991,1991,,
apollo 100,0,1,0,0,0,0,joy,1972,1972,,
aqua,0,0,0,1,0,0,barbie girl,1997,1997,,
arcadia,0,0,1,0,0,0,election day,1986,1986,,
archie bell  the drells,1,0,0,0,0,0,tighten up,1968,1968,,
aretha franklin,6,5,2,1,0,0,"respect, baby i love you, i never loved a man the way i love you, sweet sweet baby since youve been gone, i say a little prayer, think, call me, spanish harlem, bridge over troubled water, day dreaming, until you come back to me thats what im gonna do, freeway of love, whos zoomin who, a rose is still a rose",1967,1998,female,African-American_female_singer-songwriters
aretha franklin and george michael,0,0,1,0,0,0,i knew you were waiting for me,1987,1987,,
argent,0,1,0,0,0,0,hold your head up,1972,1972,,
ariana grande,0,0,0,0,0,4,"the way, problem, break free, one last time",2013,2015,female,American_female_pop_singers
ariana grande and the weeknd,0,0,0,0,0,1,love me harder,2015,2015,,
arlo guthrie,0,1,0,0,0,0,city of new orleans,1972,1972,male,American_male_guitarists
arrested development,0,0,0,3,0,0,"tennessee, people everyday, mr wendal",1992,1993,,
